Monthly Part-time Fee,Monthly Full-time  Fee,2,3,4,5,6,7,8
26,52,2245,2418,2717,3152,3587,3668,3750
32,64,2303,2480,2787,3233,3679,3762,3846
39,78,2418,2604,2926,3394,3863,3950,4038
45,90,2476,2666,2996,3475,3955,4044,4134
52,103,2591,2790,3135,3637,4138,4233,4327
59,118,2706,2914,3275,3798,4322,4421,4519
68,136,2763,2976,3344,3879,4414,4515,4615
79,158,2879,3100,3484,4041,4598,4703,4807
89,177,2936,3162,3553,4122,4690,4797,4903
100,200,3051,3286,3693,4283,4874,4985,5096
109,218,3109,3348,3762,4364,4966,5079,5192
120,240,3224,3472,3902,4526,5150,5267,5384
129,258,3282,3534,3971,4607,5242,5361,5480
141,281,3397,3658,4111,4768,5426,5549,5673
152,304,3512,3720,4180,4849,5518,5643,5769
161,322,3569,3782,4250,4930,5610,5737,5865
172,344,3685,3844,4320,5011,5702,5832,5961
181,362,3742,3906,4389,5092,5794,5926,6057
193,386,3857,3968,4459,5172,5886,6020,6153
196,391,3915,4030,4529,5253,5978,6114,6250
202,403,4030,4092,4598,5334,6070,6208,6346
204,408,,4154,4668,5415,6162,6302,6442
208,415,,4234,4758,5519,6280,6423,6566
212,424,,4340,4807,5577,6346,6490,6634
218,435,,,4877,5657,6438,6584,6730